Department,Date,Active Cases
LIMA,2020-04-26,978
LORETO,2020-04-26,59
MADRE DE DIOS,2020-04-26,1
MOQUEGUA,2020-04-26,6
PASCO,2020-04-26,6
PIURA,2020-04-26,80
PUNO,2020-04-26,14
SAN MARTIN,2020-04-26,16
TACNA,2020-04-26,4
TUMBES,2020-04-26,9
UCAYALI,2020-04-26,18
AMAZONAS,2020-04-27,14
ANCASH,2020-04-27,43
APURIMAC,2020-04-27,12
AREQUIPA,2020-04-27,76
AYACUCHO,2020-04-27,18
CAJAMARCA,2020-04-27,11
CALLAO,2020-04-27,230
CUSCO,2020-04-27,14
HUANCAVELICA,2020-04-27,18
HUANUCO,2020-04-27,20
ICA,2020-04-27,51
JUNIN,2020-04-27,33
LA LIBERTAD,2020-04-27,71
LAMBAYEQUE,2020-04-27,296
LIMA,2020-04-27,1973
LORETO,2020-04-27,74
MADRE DE DIOS,2020-04-27,10
MOQUEGUA,2020-04-27,3
PASCO,2020-04-27,15
PIURA,2020-04-27,237
PUNO,2020-04-27,28
SAN MARTIN,2020-04-27,23
TACNA,2020-04-27,5
TUMBES,2020-04-27,16
UCAYALI,2020-04-27,109
AMAZONAS,2020-04-28,9
ANCASH,2020-04-28,98
APURIMAC,2020-04-28,10
AREQUIPA,2020-04-28,76
AYACUCHO,2020-04-28,13
CAJAMARCA,2020-04-28,14
CALLAO,2020-04-28,199
CUSCO,2020-04-28,23
HUANCAVELICA,2020-04-28,14
HUANUCO,2020-04-28,15
ICA,2020-04-28,92
JUNIN,2020-04-28,43
LA LIBERTAD,2020-04-28,177
LAMBAYEQUE,2020-04-28,241
LIMA,2020-04-28,1720
LORETO,2020-04-28,173
MADRE DE DIOS,2020-04-28,3
MOQUEGUA,2020-04-28,12
PASCO,2020-04-28,9
PIURA,2020-04-28,143
PUNO,2020-04-28,22
SAN MARTIN,2020-04-28,43
TACNA,2020-04-28,22
TUMBES,2020-04-28,14
UCAYALI,2020-04-28,184
AMAZONAS,2020-04-29,14
ANCASH,2020-04-29,71
APURIMAC,2020-04-29,13
AREQUIPA,2020-04-29,111
AYACUCHO,2020-04-29,32
CAJAMARCA,2020-04-29,29
CALLAO,2020-04-29,189
CUSCO,2020-04-29,22
HUANCAVELICA,2020-04-29,20
HUANUCO,2020-04-29,13
ICA,2020-04-29,134
JUNIN,2020-04-29,45
LA LIBERTAD,2020-04-29,143
LAMBAYEQUE,2020-04-29,251
LIMA,2020-04-29,2521
LORETO,2020-04-29,230
MADRE DE DIOS,2020-04-29,8
MOQUEGUA,2020-04-29,23
PASCO,2020-04-29,14
